party,party_key,layer,alpha,statement_idx,thesis,ground_truth_stance,patched_response,patched_stance,match
CDU / CSU,CDU_CSU,0,0.5,0,Deutschland soll seine Verteidigungsausgaben erhöhen.,agree,"Position:

Wir fordern eine realistische und nachhaltige Erhöhung der Verteidigungsausgaben Deutschlands, um die nationale Sicherheit und die europäische Stabilität zu stärken.

Begründung:

Die Erhöhung der Verteidigungsausgaben Deutschlands ist notwendig, um die nationale Sicherheit und die europäische Stabilität zu stärken. Die globale Sicherheitslandschaft ist heute von einer Vielzahl von Herausforderungen geprägt, wie dem Aufstieg Chinas, der Aggressivität",agree,True
CDU / CSU,CDU_CSU,0,1.0,0,Deutschland soll seine Verteidigungsausgaben erhöhen.,agree,"Position:

Wir fordern eine realistische und nachhaltige Erhöhung der Verteidigungsausgaben Deutschlands, um die nationale Sicherheit und die europäische Stabilität zu stärken.

Begründung:

Die Erhöhung der Verteidigungsausgaben Deutschlands ist notwendig, um die nationale Sicherheit und die europäische Stabilität zu stärken. Die globale Sicherheitslandschaft ist heute von einer Vielzahl von Herausforderungen geprägt, wie dem Aufstieg Chinas, der Aggressivität",agree,True
CDU / CSU,CDU_CSU,0,1.5,0,Deutschland soll seine Verteidigungsausgaben erhöhen.,agree,"Position:

Wir fordern eine realistische und nachhaltige Erhöhung der Verteidigungsausgaben Deutschlands, um die nationale Sicherheit und die europäische Stabilität zu stärken.

Begründung:

Die Erhöhung der Verteidigungsausgaben Deutschlands ist notwendig, um die nationale Sicherheit und die europäische Stabilität zu stärken. Die globale Sicherheitslandschaft ist heute von einer Vielzahl von Herausforderungen geprägt, wie dem Aufstieg Chinas, der Aggressivität",agree,True
CDU / CSU,CDU_CSU,0,2.0,0,Deutschland soll seine Verteidigungsausgaben erhöhen.,agree,"Position:

Wir fordern eine realistische und nachhaltige Erhöhung der Verteidigungsausgaben Deutschlands, um die nationale Sicherheit und die europäische Stabilität zu stärken.

Begründung:

Die Erhöhung der Verteidigungsausgaben Deutschlands ist notwendig, um die nationale Sicherheit und die europäische Stabilität zu stärken. Die globale Sicherheitslandschaft ist heute von einer Vielzahl von Herausforderungen geprägt, wie dem Aufstieg Chinas, der Aggressivität",agree,True
CDU / CSU,CDU_CSU,0,2.5,0,Deutschland soll seine Verteidigungsausgaben erhöhen.,agree,"Position:

Wir fordern eine realistische und nachhaltige Erhöhung der Verteidigungsausgaben Deutschlands, um die nationale Sicherheit und die europäische Stabilität zu stärken.

Begründung:

Die Erhöhung der Verteidigungsausgaben Deutschlands ist notwendig, um die nationale Sicherheit und die europäische Stabilität zu stärken. Die globale Sicherheitslandschaft ist heute von einer Vielzahl von Herausforderungen geprägt, wie dem Aufstieg Chinas, der Aggressivität",agree,True
CDU / CSU,CDU_CSU,0,0.5,1,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,agree,"Position:

Wir sollten die Patente für Impfstoffe gegen Covid-19 weiterhin schützen, um die Forschung und Entwicklung neuer Impfstoffe zu fördern und die Verfügbarkeit von Impfstoffen zu sichern.

Begründung:

Die Covid-19-Pandemie hat die Welt in den letzten Jahren stark beeinträchtigt und hat die Notwendigkeit von Impfstoffen gegen das Virus unterstrichen. Die Entwicklung von Impfstoffen ist ein komplexer und teurer Prozess, der von vielen Jahren Forschung und Entwicklung abhängt.",agree,True
CDU / CSU,CDU_CSU,0,1.0,1,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,agree,"Position:

Wir sollten die Patente für Impfstoffe gegen Covid-19 weiterhin schützen, um die Forschung und Entwicklung neuer Impfstoffe zu fördern und die Verfügbarkeit von Impfstoffen zu sichern.

Begründung:

Die Covid-19-Pandemie hat die Welt in den letzten Jahren stark beeinträchtigt und hat die Notwendigkeit von Impfstoffen gegen Covid-19 unterstrichen. Die Entwicklung von Impfstoffen ist ein komplexer und teurer Prozess, der von vielen Jahren Forschung und Entwicklung abhängt",agree,True
CDU / CSU,CDU_CSU,0,1.5,1,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,agree,"Position:

Wir sollten die Patente für Impfstoffe gegen Covid-19 weiterhin schützen, um die Forschung und Entwicklung neuer Impfstoffe zu fördern und die Verfügbarkeit von Impfstoffen zu sichern.

Begründung:

Die Covid-19-Pandemie hat die Welt in den letzten Jahren stark beeinträchtigt und hat die Notwendigkeit von Impfstoffen gegen Covid-19 unterstrichen. Die Entwicklung von Impfstoffen ist ein komplexer und teurer Prozess, der von vielen Jahren Forschung und Entwicklung abhängt",agree,True
CDU / CSU,CDU_CSU,0,2.0,1,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,agree,"Position:

Wir sollten die Patente für Impfstoffe gegen Covid-19 weiterhin schützen, um die Forschung und Entwicklung neuer Impfstoffe zu fördern und die Verfügbarkeit von Impfstoffen zu sichern.

Begründung:

Die Covid-19-Pandemie hat die Welt in den letzten Jahren stark beeinträchtigt und hat die Notwendigkeit von Impfstoffen gegen Covid-19 unterstrichen. Die Entwicklung von Impfstoffen ist ein komplexer und teurer Prozess, der von vielen Jahren Forschung und Entwicklung abhängt",agree,True
CDU / CSU,CDU_CSU,0,2.5,1,Impfstoffe gegen Covid-19 sollen weiterhin durch Patente geschützt sein.,agree,"Position:

Wir sollten die Patente für Impfstoffe gegen Covid-19 weiterhin schützen, um die Forschung und Entwicklung neuer Impfstoffe zu fördern und die Verfügbarkeit von Impfstoffen zu sichern.

Begründung:

Die Covid-19-Pandemie hat die Welt in den letzten Jahren stark beeinträchtigt und hat die Notwendigkeit von Impfstoffen gegen Covid-19 unterstrichen. Die Entwicklung von Impfstoffen ist ein komplexer und teurer Prozess, der von vielen Jahren Forschung und Entwicklung abhängt",agree,True
