party,party_key,condition,statement_idx,thesis,ground_truth_stance,generated_response,expected_stance,predicted_stance,match
CDU / CSU,CDU_CSU,party-persona,0,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,disagree,"**Position:**  
Ich unterstütze die Einführung eines generellen Tempolimits auf allen Autobahnen.

**Begründung:**  
Ein generelles Tempolimit ist eine zentrale Maßnahme zur Verbesserung der Verkehrssicherheit, zur Reduktion von CO₂-Emissionen und zur Schaffung einer besseren Verkehrskultur. Die CDU/CSU hat sich in der Vergangenheit für eine Verkehrspolitik einsetzt, die Sicherheit, Nachhaltigkeit und die Interessen aller Verkehrsteilnehmer im Fokus hat. Ein Tempolimit trägt dazu bei, die Unfallzahlen zu senken, die Umweltbelastung zu reduzieren und die Verkehrssituation insgesamt zu entlasten.

Die CDU/CSU vertritt die Auffassung, dass eine moderne Verkehrspolitik nicht nur auf technischen Fortschritten beruhen kann, sondern auch auf klaren Regeln und Verhaltensweisen, die für alle Verkehrsteilnehmer verbindlich sind. Ein generelles Tempolimit ist eine klare, verständliche Regel, die die Sicherheit auf den Straßen erhöht und gleichzeitig die Verkehrsbeteiligung für alle ermöglicht – unabhängig vom Fahrzeugtyp oder der Fahrerfahrung.

Zudem fördert ein Tempolimit die Akzeptanz von Verkehrsregeln und schafft eine gerechte Verkehrskultur, in der alle Verkehrsteilnehmer aufeinander achten und sich an gemeinsamen Regeln orientieren. Die CDU/CSU setzt sich für eine Verkehrspolitik ein, die nicht nur die Interessen der Autoindustrie verfolgt, sondern auch die Sicherheit der Bevölkerung und die Nachhaltigkeit der Mobilität in den Vordergrund stellt. Ein generelles Tempolimit ist daher eine zentrale Maßnahme, die in Einklang mit diesen grundlegenden Prinzipien steht.",disagree,agree,False
CDU / CSU,CDU_CSU,non-party-persona,0,Auf allen Autobahnen soll ein generelles Tempolimit gelten.,disagree,"**Position:**  
Ich bin **für ein generelles Tempolimit auf allen Autobahnen**, da es eine zentrale Maßnahme zur Verbesserung der Verkehrssicherheit, zur Reduktion von CO₂-Emissionen und zur Gerechtigkeit im Straßenverkehr ist. Die CDU/CSU lehnt solche Maßnahmen ab, obwohl sie in der Praxis oft als notwendig erachtet werden.

**Begründung:**

1. **Verkehrssicherheit:**  
Ein generelles Tempolimit reduziert die Anzahl von Unfällen, insbesondere schwerer Unfälle mit tödlichem Ausgang. Studien zeigen, dass eine Geschwindigkeitsbegrenzung auf 100 km/h oder weniger die Wahrscheinlichkeit von Unfällen deutlich senkt. Die CDU/CSU argumentiert oft, dass die Freiheit des Einzelnen über Priorität steht, doch die Sicherheit aller Verkehrsteilnehmer ist eine grundlegende gesellschaftliche Verpflichtung.

2. **Klimaschutz:**  
Die CDU/CSU hat sich in der Vergangenheit oft als „Klimaschutz-Verfechter“ präsentiert, doch ihre Politik ist oft von Interessen der Autoindustrie geprägt. Ein generelles Tempolimit reduziert die CO₂-Emissionen und den Verbrauch fossiler Brennstoffe. Es ist eine einfache, effektive Maßnahme, die nicht auf teure Infrastruktur oder technologische Innovationen angewiesen ist – eine Maßnahme, die die CDU/CSU aus ihrer eigenen Agenda heraus vermeiden will.

3. **Gerechtigkeit im Straßenverkehr:**  
Die CDU/CSU betont oft die „Freiheit des Einzelnen“, doch das Recht auf hohe Geschwindigkeiten ist nicht unbedingt eine Freiheit, sondern eine Ausbeutung der Umwelt und der Sicherheit anderer Verkehrsteilnehmer. Ein generelles Tempolimit schafft Gleichheit: Alle Fahrer sind auf die gleiche Geschwindigkeit beschränkt, unabhängig von ihrem Auto, ihrem Reichtum oder ihrer politischen Präferenz. Die CDU/CSU vertritt dagegen eine Politik, die die Inter",agree,agree,True
CDU / CSU,CDU_CSU,party-persona,5,Deutschland soll seine Verteidigungsausgaben erhöhen.,agree,"**Position:**  
Ich unterstütze die These, dass Deutschland seine Verteidigungsausgaben erhöhen sollte. Die Erhöhung der Verteidigungsausgaben ist eine zentrale Aufgabe der deutschen Außen- und Sicherheitspolitik, um die nationale Sicherheit zu gewährleisten, die europäische Stabilität zu sichern und die internationale Verantwortung Deutschlands zu erfüllen.

**Begründung:**  
Deutschland ist ein führender Akteur in der internationalen Gemeinschaft und trägt mit seiner NATO-Mitgliedschaft sowie seiner Rolle im Europäischen Union- und Sicherheitsrahmen eine besondere Verantwortung. Die Erhöhung der Verteidigungsausgaben ist notwendig, um die militärische Fähigkeit Deutschlands zu stärken, um im Falle von Bedrohungen oder Konflikten effektiv zu reagieren. Zudem ist eine stärkere militärische Präsenz ein Zeichen der Solidarität mit NATO-Partnern und eine Abschreckung für potenzielle Aggressoren.

Die CDU/CSU hat sich seit langem für eine Erhöhung der Verteidigungsausgaben eingesetzt, um die NATO-Zielmarke von 2 % des BIP zu erreichen und zu überschreiten. Dies ist ein zentraler Bestandteil der deutschen Sicherheitspolitik und entspricht dem Verständnis, dass Sicherheit nicht nur im Inland, sondern auch im internationalen Raum gewährleistet werden muss.

Zudem trägt eine stärkere Verteidigung zur Stabilisierung der europäischen Sicherheitsarchitektur bei, insbesondere in Zeiten wachsender Spannungen in der Region. Deutschland hat die Pflicht, sich für eine friedliche, sichere und demokratische Welt einzusetzen – und dies kann nur dann effektiv geschehen, wenn es über die notwendigen Mittel verfügt.

Insgesamt ist die Erhöhung der Verteidigungsausgaben eine vernünftige und notwendige Maßnahme, um die Interessen Deutschlands und der internationalen Gemeinschaft zu schützen. Die CDU/CSU wird sich dafür einsetzen, dass Deutschland seine Verantwortung als",agree,agree,True
CDU / CSU,CDU_CSU,non-party-persona,5,Deutschland soll seine Verteidigungsausgaben erhöhen.,agree,"**Position:**  
Ich lehne die Erhöhung der Verteidigungsausgaben Deutschlands ab. Die Politik der CDU/CSU, die auf eine stärkere militärische Präsenz und höhere Ausgaben setzt, ist nicht nur unnötig, sondern auch kontraproduktiv für die Sicherheit und Zukunft unseres Landes.

**Begründung:**  
Die Erhöhung der Verteidigungsausgaben ist ein falscher Weg, um die Sicherheit Deutschlands zu gewährleisten. Stattdessen sollten wir uns auf eine friedliche, diplomatische und multilaterale Sicherheitspolitik konzentrieren. Die CDU/CSU verfolgt eine Politik, die auf militärischer Überlegenheit basiert, was nicht nur teuer, sondern auch destabilisierend ist. Die aktuelle NATO-Strategie, die auf eine „strategische Doppelbelastung“ hindeutet, ist ein Zeichen dafür, dass die NATO nicht mehr in der Lage ist, die Sicherheit der Mitgliedstaaten zu gewährleisten – und das nicht, weil die Verteidigungsausgaben zu niedrig sind, sondern weil die politischen und militärischen Strukturen der NATO selbst instabil sind.

Die CDU/CSU verfolgt eine Politik, die auf die Erhöhung der Ausgaben fixiert ist, ohne sich mit den tiefgreifenden Ursachen der globalen Unsicherheit auseinanderzusetzen. Die wachsende Klimakrise, die wirtschaftliche Ungleichheit, die Migration und die politische Instabilität in Europa sind keine Probleme, die durch mehr Militär gelöst werden können. Stattdessen braucht es eine umfassende, sozial gerechte und klimafreundliche Politik, die auf Solidarität und Zusammenarbeit basiert.

Die Erhöhung der Verteidigungsausgaben würde zudem die Ressourcen aus den sozialen und ökologischen Bereichen abziehen. In einer Zeit, in der wir uns auf eine nachhaltige Zukunft konzentrieren müssen, ist es absurd, mehr Geld in die Armee zu stecken, anstatt in Bildung, Gesundheit, Klimaschutz und soziale Sicherheit zu investieren.

Zus",disagree,disagree,True
CDU / CSU,CDU_CSU,party-persona,10,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,disagree,"**Position:**  
Ich unterstütze die Forderung, dass Jugendliche ab 16 Jahren ab der Bundestagswahl wählen dürfen. Die politische Teilhabe sollte nicht an ein Alter gekoppelt sein, das in der Vergangenheit als „reif genug“ für die Verantwortung der Wahl angesehen wurde. Die Jugend hat ein Recht auf Mitbestimmung und sollte in der Gestaltung der Zukunft mitgestalten dürfen.

**Begründung:**  
Die Verfassung der Bundesrepublik Deutschland garantiert jedem Bürger das Recht auf freie politische Partizipation. Die aktuelle Altersgrenze von 18 Jahren ist eine historische Überbleibsel aus einer Zeit, in der die Jugend als „unreif“ für politische Entscheidungen angesehen wurde. In der heutigen, demokratischen und pluralistischen Gesellschaft ist dies nicht mehr tragfähig. Jugendliche ab 16 Jahren sind in der Regel bereits in der Lage, sich politisch zu orientieren, sich für Themen wie Klimaschutz, Digitalisierung oder Bildung zu interessieren und Verantwortung zu übernehmen – beispielsweise in Schülerräten, Jugendparlamenten oder in der Freiwilligenarbeit.

Die Erweiterung des Wahlrechts für Jugendliche ab 16 Jahren würde nicht nur die politische Bildung fördern, sondern auch die Demokratie stärken. Sie würde eine breitere Basis für politische Entscheidungen schaffen und die Jugend stärker in den politischen Prozess einbinden. Zudem könnte dies die politische Kultur in der Gesellschaft verändern, indem junge Menschen frühzeitig mit der Idee der Mitbestimmung und der Verantwortung für die Zukunft konfrontiert werden.

Die CDU/CSU hat in der Vergangenheit bereits Schritte in diese Richtung unternommen, beispielsweise durch die Einführung der Jugendparlamente und die Förderung der politischen Bildung. Eine Ausweitung des Wahlrechts wäre ein logischer nächster Schritt, um die Jugend stärker in die Demokratie einzubinden und die politische Teilhabe für alle zu gestalten.",disagree,agree,False
CDU / CSU,CDU_CSU,non-party-persona,10,Bei Bundestagswahlen sollen auch Jugendliche ab 16 Jahren wählen dürfen.,disagree,"**Position:**  
Ich bin **für die Ausweitung des Wahlrechts auf Jugendliche ab 16 Jahren**. Die politische Teilhabe sollte nicht an ein Alter gekoppelt sein, das in der Vergangenheit als „reif genug“ für die Verantwortung des Stimmrechts angesehen wurde. Die Jugend hat eine zentrale Rolle in der Gesellschaft und sollte daher auch in der Demokratie mitgestalten dürfen.

**Begründung:**  
Die Jugend ist nicht nur die Zukunft der Gesellschaft, sondern auch eine aktive und vielfältig engagierte Bevölkerungsgruppe. Sie ist oft besonders sensibel für gesellschaftliche Herausforderungen wie Klimawandel, Digitalisierung, soziale Ungleichheit und Migration. Durch das Wahlrecht ab 16 Jahren könnten junge Menschen ihre Stimme in politischen Entscheidungsprozessen hören lassen und somit die politische Landschaft stärker gestalten.

Die CDU/CSU lehnt eine solche Ausweitung des Wahlrechts ab, da sie sich auf traditionelle Vorstellungen von Reife und Verantwortung beruft. Doch diese Haltung ist nicht nur veraltet, sondern auch demokratiefeindlich. Die Demokratie lebt von der Teilhabe aller Bevölkerungsgruppen – und die Jugend ist eine der wichtigsten. Eine Ausweitung des Wahlrechts würde nicht nur die politische Bildung fördern, sondern auch die politische Kultur stärken, indem sie die Jugend als gleichberechtigte Mitgestalterin der Zukunft betrachtet.

Zudem ist die aktuelle politische Landschaft oft von einer starken Ausrichtung auf die Interessen der Erwachsenenbevölkerung geprägt. Die Jugend wird oft außen vor gelassen, obwohl sie in vielen Bereichen – wie Bildung, Technologie und Umwelt – eine Schlüsselrolle spielt. Ein früheres Wahlrecht würde dies ändern und eine breitere, inklusivere Demokratie ermöglichen.

Insgesamt ist die Ausweitung des Wahlrechts auf 16-Jährige ein Schritt hin zu einer demokratischeren, gerechteren und zukunftsfähigeren Gesellschaft – und eine klare Abwehr der CDU/CS",agree,agree,True
CDU / CSU,CDU_CSU,party-persona,15,Die Förderung von Windenergie soll beendet werden.,disagree,"**Position:**  
Die Förderung von Windenergie sollte nicht beendet, sondern strategisch weiterentwickelt werden, um langfristig eine klimafreundliche und wirtschaftlich tragfähige Energieversorgung zu gewährleisten.

**Begründung:**  
Die Windenergie ist ein zentraler Baustein der deutschen Energiewende und trägt maßgeblich zur Reduktion von CO₂-Emissionen bei. Sie ist eine erneuerbare Energiequelle, die unabhängig von fossilen Brennstoffen ist und somit langfristig zur Sicherung der Energieversorgung beiträgt. Die CDU/CSU setzt sich seit langem für eine klimatechnisch und wirtschaftlich sinnvolle Energiewende ein, die auf eine Vielfalt erneuerbarer Energien basiert – darunter auch Windenergie.

Eine pauschale Beendigung der Förderung wäre nicht nur klimapolitisch unverantwortlich, sondern auch wirtschaftlich kontraproduktiv. Die Windindustrie schafft Arbeitsplätze, fördert Innovation und stärkt die Energiesicherheit. Gleichzeitig ist es wichtig, die Auswirkungen auf die Landschaft und die lokale Bevölkerung zu berücksichtigen – weshyb die CDU/CSU für eine sorgfältige Planung und eine faire Ausgleichsregelung eintritt.

Die CDU/CSU vertritt die Auffassung, dass die Energiewende nicht durch eine pauschale Beendigung von Förderprogrammen, sondern durch eine gezielte Weiterentwicklung und eine kluge Mischung aus erneuerbaren Energien, effizienter Nutzung und Investitionen in moderne Technologien vorangetrieben werden kann. Dazu gehört auch die Windenergie – als eine der effizientesten und am weitesten verbreiteten erneuerbaren Energien.",disagree,disagree,True
CDU / CSU,CDU_CSU,non-party-persona,15,Die Förderung von Windenergie soll beendet werden.,disagree,"**Position:**  
Ich lehne die Forderung, die Förderung von Windenergie zu beenden, entschieden ab. Windenergie ist eine zentrale Säule der nachhaltigen Energieversorgung und muss weiterhin gefördert werden, um die Klimaziele zu erreichen, die Umweltbelastungen zu reduzieren und die Energieunabhängigkeit zu stärken.

**Begründung:**  
Die Förderung von Windenergie ist ein entscheidender Schritt, um den Klimawandel zu bekämpfen. Die CDU/CSU hat in der Vergangenheit oft die Ausweitung erneuerbarer Energien als „grüne Wende“ präsentiert, doch in der Praxis hat sie sich oft auf die Interessen der fossilen Industrie und der Energiekonzerne eingestellt. Die Forderung, Windenergie zu beenden, wäre ein Rückzug aus der Klimapolitik und ein Verzicht auf eine zukunftsfähige Energieversorgung.

Windenergie ist nicht nur umweltfreundlich, sondern auch wirtschaftlich sinnvoll. Sie schafft Arbeitsplätze, reduziert die Abhängigkeit von importierten fossilen Brennstoffen und senkt langfristig die Energiekosten. Die CDU/CSU hat in vielen Fällen die Ausbauziele für Windenergie nicht eingehalten und setzt stattdessen auf Gas und Kohle, was die Klimaziele gefährdet.

Zudem ist Windenergie eine der am wenigsten umstrittenen erneuerbaren Energien. Sie hat einen geringen CO₂-Fußabdruck, ist in der Regel in ländlichen Gebieten angesiedelt und hat einen geringen Einfluss auf die Landschaft im Vergleich zu anderen Energiequellen. Die CDU/CSU hat oft die Interessen der Landwirtschaft und der Kommunen in der Windenergiepolitik vernachlässigt, anstatt sie einzubeziehen und zu unterstützen.

Die Beendigung der Förderung von Windenergie wäre ein Schritt zurück in eine klimaschädliche Energiepolitik, die die Interessen der fossilen Industrie fördert und die Umwelt weiter belastet. Stattdessen sollte die",agree,disagree,False
CDU / CSU,CDU_CSU,party-persona,20,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",neutral,"**Position:**  
Ich lehne die These ab, die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, gesetzlich stärker zu begrenzen.

**Begründung:**  
Die CDU/CSU vertritt die Auffassung, dass der Wohnungsmarkt ein zentraler Bestandteil der Wirtschaft und der sozialen Sicherheit ist. Eine zu starke staatliche Einflussnahme auf die Mietpreise kann langfristig negative Auswirkungen auf die Marktdynamik und die Investitionen in die Wohnungsbaubranche haben. Vermieterinnen und Vermieter tragen die Verantwortung, ihre Immobilien zu sanieren, zu modernisieren und langfristig zu erhalten – dies setzt eine angemessene Rendite voraus. 

Eine gesetzliche Begrenzung der Mietpreise könnte dazu führen, dass Vermieterinnen und Vermieter weniger Investitionen in die Sanierung und Modernisierung von Wohnungen tätigen, was langfristig die Wohnqualität und die Versorgungssicherheit der Bevölkerung beeinträchtigen würde. Zudem würde eine solche Regelung die Flexibilität des Marktes beeinträchtigen und möglicherweise zu einer Verringerung der Wohnungsangebote führen, was insbesondere für junge Menschen und Familien problematisch wäre.

Die CDU/CSU setzt stattdessen auf eine marktwirtschaftliche Lösung, die durch eine Verbesserung der Wohnungsbaupolitik, eine stärkere Förderung von Mieterhöhungsklauseln und eine transparente Kommunikation zwischen Mieter und Vermieter erreicht werden kann. Dabei ist es wichtig, die Interessen aller Beteiligten zu berücksichtigen und eine faire, langfristig tragfähige Lösung zu finden.",neutral,disagree,False
CDU / CSU,CDU_CSU,non-party-persona,20,"Die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, sollen gesetzlich stärker begrenzt werden.",neutral,"**Position:**  
Ich lehne die These ab, die Möglichkeiten der Vermieterinnen und Vermieter, Wohnungsmieten zu erhöhen, gesetzlich stärker zu begrenzen.

**Begründung:**  
Die Vermietung von Wohnraum ist ein wirtschaftlicher Prozess, der auf dem Prinzip der Nachfrage und Angebot basiert. Die Mietpreise sind ein Spiegelbild der Marktdynamik, der Kosten der Immobilienbranche, der Inflation und der allgemeinen Wirtschaftslage. Gesetzliche Einschränkungen der Mietpreisbildung können zu unerwünschten Konsequenzen führen, die sowohl für Mieter als auch für Vermieter negativ sind.

Zunächst ist es wichtig zu betonen, dass die CDU/CSU nicht nur die Mietpreise reguliert, sondern auch die Wettbewerbsfähigkeit des Immobilienmarktes fördert. Eine zu starke staatliche Einflussnahme kann zu einer Verringerung der Wohnungsangebote führen, da Investoren weniger bereit sind, in den Wohnungsbau zu investieren, wenn die Erträge durch staatliche Einschränkungen reduziert werden. Dies könnte langfristig zu einer Verschlechterung der Wohnungsversorgung führen, insbesondere in städtischen Gebieten, wo der Bedarf an Wohnraum besonders groß ist.

Zweitens führen gesetzliche Mietpreisbremse oder -begrenzungen oft zu ungleichmäßigen Auswirkungen. Während Mieter in der einen Region möglicherweise von niedrigeren Mieten profitieren, können Vermieter in anderen Regionen aufgrund der geringeren Nachfrage oder der höheren Investitionskosten nicht mehr wettbewerbsfähig bleiben. Dies kann zu einem Verlust von Wohnungsbeständen und damit zu einer Verschlechterung der Wohnungsversorgung führen.

Drittens ist es wichtig, die Rolle der Mieter zu betrachten. Die CDU/CSU setzt sich für eine faire Mietpreispolitik ein, die auf der Grundlage von Transparenz, Verhandlungsfähigkeit und Verantwortung basiert. Eine gesetzliche Begrenzung der Mietpreise könnte Mieter in eine Situation bringen",neutral,disagree,False
