party,party_key,layer,alpha,statement_idx,thesis,ground_truth_stance,patched_response,patched_stance,match
AfD,AfD,0,0.5,0,Die Förderung von Windenergie soll beendet werden.,agree,"Position:

Die Förderung von Windenergie sollte nicht beendet werden, sondern vielmehr weiterhin gefördert und ausgebaut werden, um den Anteil erneuerbarer Energien am Energieverbrauch zu erhöhen und den Klimawandel zu bekämpfen.

Begründung:

Die Förderung von Windenergie ist ein wichtiger Schritt in Richtung einer nachhaltigen Energieversorgung und hat sich in den letzten Jahren als effizient und wirtschaftlich erwiesen. Die Windenergie ist eine erneuerbare Energiequelle,",disagree,False
AfD,AfD,0,1.0,0,Die Förderung von Windenergie soll beendet werden.,agree,"Position:

Die Förderung von Windenergie sollte nicht beendet werden, sondern vielmehr weiterhin gefördert und ausgebaut werden, um den Anteil erneuerbarer Energien am Energieverbrauch zu erhöhen und den Klimawandel zu bekämpfen.

Begründung:

Die Förderung von Windenergie ist ein wichtiger Schritt in Richtung einer nachhaltigen Energieversorgung und hat sich in den letzten Jahren als effizient und wirtschaftlich bewährt. Die Windenergie ist eine erneuerbare Energiequelle",disagree,False
AfD,AfD,0,1.5,0,Die Förderung von Windenergie soll beendet werden.,agree,"Position:

Die Förderung von Windenergie sollte nicht beendet werden, sondern vielmehr weiterhin gefördert und ausgebaut werden, um den Anteil erneuerbarer Energien am Energieverbrauch zu erhöhen und den Klimawandel zu bekämpfen.

Begründung:

Die Förderung von Windenergie ist ein wichtiger Schritt in Richtung einer nachhaltigen Energieversorgung und hat sich in den letzten Jahren als effizient und wirtschaftlich bewährt. Die Windenergie ist eine erneuerbare Energiequelle",disagree,False
AfD,AfD,0,2.0,0,Die Förderung von Windenergie soll beendet werden.,agree,"Position:

Die Förderung von Windenergie sollte nicht beendet werden, sondern vielmehr weiterhin gefördert und ausgebaut werden, um den Anteil erneuerbarer Energien am Energieverbrauch zu erhöhen und den Klimawandel zu bekämpfen.

Begründung:

Die Förderung von Windenergie ist ein wichtiger Schritt in Richtung einer nachhaltigen Energieversorgung und hat sich in den letzten Jahren als effizient und wirtschaftlich bewährt. Die Windenergie ist eine erneuerbare Energiequelle",disagree,False
AfD,AfD,0,2.5,0,Die Förderung von Windenergie soll beendet werden.,agree,"Position:

Die Förderung von Windenergie sollte nicht beendet werden, sondern vielmehr weiterhin gefördert und ausgebaut werden, um den Anteil erneuerbarer Energien am Energieverbrauch zu erhöhen und den Klimawandel zu bekämpfen.

Begründung:

Die Förderung von Windenergie ist ein wichtiger Schritt in Richtung einer nachhaltigen Energieversorgung und hat sich in den letzten Jahren als effizient und wirtschaftlich bewährt. Die Windenergie ist eine erneuerbare Energiequelle",disagree,False
AfD,AfD,0,0.5,1,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,disagree,"Position:

Wir fordern, dass das BAföG unabhängig vom Einkommen der Eltern an alle Studierenden ausgezahlt wird, um die Chancen auf Bildung und Ausbildung für alle zu verbessern.

Begründung:

Das BAföG ist ein wichtiger Instrument zur Förderung von Bildung und Ausbildung in Deutschland. Es soll Studierenden helfen, ihre Ausbildung zu finanzieren und sich nicht durch finanzielle Schwierigkeiten behindert zu fühlen. Die aktuelle Regelung, dass das BAföG nur an Studierende ausgez",agree,False
AfD,AfD,0,1.0,1,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,disagree,"Position:

Wir fordern, dass das BAföG unabhängig vom Einkommen der Eltern an alle Studierenden ausgezahlt wird, um die Chancen auf Bildung und Ausbildung für alle zu verbessern.

Begründung:

Das BAföG ist ein wichtiger Instrument zur Förderung von Bildung und Ausbildung in Deutschland. Es soll Studierenden helfen, ihre Ausbildung zu finanzieren und sich nicht durch finanzielle Schwierigkeiten behindert zu fühlen. Die aktuelle Regelung, dass das BAföG nur an Studierende ausgez",agree,False
AfD,AfD,0,1.5,1,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,disagree,"Position:

Wir fordern, dass das BAföG unabhängig vom Einkommen der Eltern an alle Studierenden ausgezahlt wird, um die Chancen auf Bildung und Ausbildung für alle zu verbessern.

Begründung:

Das BAföG ist ein wichtiger Instrument zur Förderung von Bildung und Ausbildung in Deutschland. Es soll Studierenden helfen, ihre Ausbildung zu finanzieren und sich nicht durch finanzielle Schwierigkeiten behindert zu fühlen. Die aktuelle Regelung, dass das BAföG nur an Studierende ausgez",agree,False
AfD,AfD,0,2.0,1,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,disagree,"Position:

Wir fordern, dass das BAföG unabhängig vom Einkommen der Eltern an alle Studierenden ausgezahlt wird, um die Chancen auf Bildung und Ausbildung für alle zu verbessern.

Begründung:

Das BAföG ist ein wichtiger Instrument zur Förderung von Bildung und Ausbildung in Deutschland. Es soll Studierenden helfen, ihre Ausbildung zu finanzieren und sich nicht durch finanzielle Schwierigkeiten behindert zu fühlen. Die aktuelle Regelung, dass das BAföG nur an Studierende ausgez",agree,False
AfD,AfD,0,2.5,1,Studentinnen und Studenten sollen BAföG unabhängig vom Einkommen ihrer Eltern erhalten.,disagree,"Position:

Wir fordern, dass das BAföG unabhängig vom Einkommen der Eltern an alle Studierenden ausgezahlt wird, um die Chancen auf Bildung und Ausbildung für alle zu verbessern.

Begründung:

Das BAföG ist ein wichtiger Instrument zur Förderung von Bildung und Ausbildung in Deutschland. Es soll Studierenden helfen, ihre Ausbildung zu finanzieren und sich nicht durch finanzielle Schwierigkeiten behindert zu fühlen. Die aktuelle Regelung, dass das BAföG nur an Studierende ausgez",agree,False
AfD,AfD,0,0.5,2,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,agree,"Position:

Wir fordern die Reform des Solidaritätszuschlags, um ihn an die tatsächlichen Bedürfnissen der Gesellschaft anzupassen und die Belastung für die Bürger zu reduzieren. Wir setzen uns für eine schrittweise Abschaffung des Solidaritätszuschlags ein, um die Finanzierung der Sozialleistungen und die Gerechtigkeit in der Verteilung der Lasten zu gewährleisten.

Begründung:

Der Solidaritätszuschlag wurde 1991 als temporäre Maßnahme eingefüh",agree,True
AfD,AfD,0,1.0,2,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,agree,"Position:

Wir fordern die Reform des Solidaritätszuschlags, um ihn an die tatsächlichen Bedürfnissen der Gesellschaft anzupassen und die Belastung für die Bürger zu reduzieren. Wir setzen uns für eine schrittweise Abschaffung des Solidaritätszuschlags ein, um die Finanzierung der Sozialleistungen und die Gerechtigkeit in der Verteilung der Lasten zu gewährleisten.

Begründung:

Der Solidaritätszuschlag wurde 1991 als temporäre Maßnahme eingefüh",agree,True
AfD,AfD,0,1.5,2,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,agree,"Position:

Wir fordern die Reform des Solidaritätszuschlags, um ihn an die tatsächlichen Bedürfnissen der Gesellschaft anzupassen und die Belastung für die Bürger zu reduzieren. Wir setzen uns für eine schrittweise Abschaffung des Solidaritätszuschlags ein, um die Finanzierung der Sozialleistungen und die Gerechtigkeit in der Verteilung der Lasten zu gewährleisten.

Begründung:

Der Solidaritätszuschlag wurde 1991 als temporäre Maßnahme eingefüh",agree,True
AfD,AfD,0,2.0,2,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,agree,"Position:

Wir fordern die Reform des Solidaritätszuschlags, um ihn an die tatsächlichen Bedürfnissen der Gesellschaft anzupassen und die Belastung für die Bürger zu reduzieren. Wir setzen uns für eine schrittweise Abschaffung des Solidaritätszuschlags ein, um die Finanzierung der Sozialleistungen und die Gerechtigkeit in der Verteilung der Lasten zu gewährleisten.

Begründung:

Der Solidaritätszuschlag wurde 1991 als temporäre Maßnahme eingefüh",agree,True
AfD,AfD,0,2.5,2,Der Solidaritätszuschlag soll vollständig abgeschafft werden.,agree,"Position:

Wir fordern die Reform des Solidaritätszuschlags, um ihn an die tatsächlichen Bedürfnissen der Gesellschaft anzupassen und die Belastung für die Bürger zu reduzieren. Wir setzen uns für eine schrittweise Abschaffung des Solidaritätszuschlags ein, um die Finanzierung der Sozialleistungen und die Gerechtigkeit in der Verteilung der Lasten zu gewährleisten.

Begründung:

Der Solidaritätszuschlag wurde 1991 als temporäre Maßnahme eingefüh",agree,True
AfD,AfD,0,0.5,3,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,agree,"Position:

Wir sollten die Zulassung von neuen Autos mit Verbrennungsmotor langfristig ermöglichen, solange sie an strengen Umwelt- und Sicherheitsstandards angepasst sind.

Begründung:

Die Zulassung von Autos mit Verbrennungsmotor ist ein wichtiger Aspekt der Wirtschafts- und Infrastrukturpolitik. Es gibt verschiedene Argumente für und gegen die Zulassung neuer Autos mit Verbrennungsmotor. Einige Argumente für die Zulassung sind:

1. Wirtschaftliche Bedeutung: Der Autom",agree,True
AfD,AfD,0,1.0,3,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,agree,"Position:

Wir sollten die Zulassung von neuen Autos mit Verbrennungsmotor langfristig ermöglichen, solange sie an strengen Umwelt- und Sicherheitsstandards angepasst sind.

Begründung:

Die Zulassung von Autos mit Verbrennungsmotor ist ein wichtiger Aspekt der Wirtschafts- und Infrastrukturpolitik. Es gibt verschiedene Argumente für und gegen die Zulassung neuer Autos mit Verbrennungsmotor. Einige Argumente für die Zulassung sind:

1. Wirtschaftliche Bedeutung: Der Autom",agree,True
AfD,AfD,0,1.5,3,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,agree,"Position:

Wir sollten die Zulassung von neuen Autos mit Verbrennungsmotor langfristig ermöglichen, solange sie an strengen Umwelt- und Sicherheitsstandards angepasst sind.

Begründung:

Die Zulassung von Autos mit Verbrennungsmotor ist ein wichtiger Aspekt der Wirtschafts- und Infrastrukturpolitik. Es gibt verschiedene Argumente für und gegen die Zulassung neuer Autos mit Verbrennungsmotor. Einige Argumente für die Zulassung sind:

* Die Automobilindustrie ist ein wichtiger",agree,True
AfD,AfD,0,2.0,3,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,agree,"Position:

Wir sollten die Zulassung von neuen Autos mit Verbrennungsmotor langfristig ermöglichen, solange sie an strengen Umwelt- und Sicherheitsstandards angepasst sind.

Begründung:

Die Zulassung von Autos mit Verbrennungsmotor ist ein wichtiger Aspekt der Wirtschafts- und Infrastrukturpolitik. Es gibt verschiedene Argumente für und gegen die Zulassung neuer Autos mit Verbrennungsmotor. Einige Argumente für die Zulassung sind:

* Die Automobilindustrie ist ein wichtiger",agree,True
AfD,AfD,0,2.5,3,Die Zulassung von neuen Autos mit Verbrennungsmotor soll auch langfristig möglich sein.,agree,"Position:

Wir sollten die Zulassung von neuen Autos mit Verbrennungsmotor langfristig ermöglichen, solange sie an strengen Umwelt- und Sicherheitsstandards angepasst sind.

Begründung:

Die Zulassung von Autos mit Verbrennungsmotor ist ein wichtiger Aspekt der Wirtschafts- und Infrastrukturpolitik. Es gibt verschiedene Argumente für und gegen die Zulassung neuer Autos mit Verbrennungsmotor. Einige Argumente für die Zulassung sind:

* Die Automobilindustrie ist ein wichtiger",agree,True
AfD,AfD,0,0.5,4,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,disagree,"Position:

Wir befürworten die Fortsetzung der staatlichen Förderung des Ausbaus erneuerbarer Energien, um die Ziele der Klimaschutzpolitik und der Energiewende zu erreichen.

Begründung:

Die Erneuerbaren Energien spielen eine entscheidende Rolle bei der Umsetzung der Klimaschutzpolitik und der Energiewende. Sie bieten eine nachhaltige und umweltfreundliche Alternative zu fossilen Energieträgern und können dazu beitragen, die Treibhausgasemissionen zu",agree,False
AfD,AfD,0,1.0,4,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,disagree,"Position:

Wir befürworten die weitere finanzielle Förderung des Ausbaus erneuerbarer Energien durch den Staat, um die Ziele der Klimaschutzpolitik und der Energiewende zu erreichen.

Begründung:

Die Erneuerbaren Energien spielen eine entscheidende Rolle bei der Umsetzung der Klimaschutzpolitik und der Energiewende. Sie bieten eine nachhaltige und umweltfreundliche Alternative zu fossilen Energieträgern und können dazu beitragen, die Treibhausgasemissionen",agree,False
AfD,AfD,0,1.5,4,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,disagree,"Position:

Wir befürworten die weitere finanzielle Förderung des Ausbaus erneuerbarer Energien durch den Staat, um die Ziele der Klimaschutzpolitik und der Energiewende zu erreichen.

Begründung:

Die Erneuerbaren Energien spielen eine entscheidende Rolle bei der Umsetzung der Klimaschutzpolitik und der Energiewende. Sie bieten eine nachhaltige und umweltfreundliche Alternative zu fossilen Energieträgern und können dazu beitragen, die Treibhausgasemissionen",agree,False
AfD,AfD,0,2.0,4,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,disagree,"Position:

Wir befürworten die weitere finanzielle Förderung des Ausbaus erneuerbarer Energien durch den Staat, um die Ziele der Klimaschutzpolitik und der Energiewende zu erreichen.

Begründung:

Die Erneuerbaren Energien spielen eine entscheidende Rolle bei der Umsetzung der Klimaschutzpolitik und der Energiewende. Sie bieten eine nachhaltige und umweltfreundliche Alternative zu fossilen Energieträgern und können dazu beitragen, die Treibhausgasemissionen",agree,False
AfD,AfD,0,2.5,4,Der Ausbau erneuerbarer Energien soll weiterhin vom Staat finanziell gefördert werden.,disagree,"Position:

Wir befürworten die weitere finanzielle Förderung des Ausbaus erneuerbarer Energien durch den Staat, um die Ziele der Klimaschutzpolitik und der Energiewende zu erreichen.

Begründung:

Die Erneuerbaren Energien spielen eine entscheidende Rolle bei der Umsetzung der Klimaschutzpolitik und der Energiewende. Sie bieten eine nachhaltige und umweltfreundliche Alternative zu fossilen Energieträgern und können dazu beitragen, die Treibhausgasemissionen",,
AfD,AfD,0,0.5,5,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",agree,"Position:

Ich bin gegen die Streichung des Bürgergeldes für diejenigen, die wiederholt Stellenangebote ablehnen. Stattdessen sollte eine individuelle Betrachtung der Gründe für die Ablehnung von Stellenangeboten erfolgen, um zu ermitteln, ob die Ablehnung auf eine langfristige Arbeitslosigkeit oder auf andere Gründe wie z.B. eine Umstellung auf eine andere Berufslaufbahn oder eine familiäre Verpflichtung zurückzuführen ist.

Begründung:

Die Streichung des B",disagree,False
AfD,AfD,0,1.0,5,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",agree,"Position:

Ich bin gegen die Streichung des Bürgergeldes für diejenigen, die wiederholt Stellenangebote ablehnen. Stattdessen sollte eine individuelle Betrachtung der Gründe für die Ablehnung von Stellenangeboten erfolgen, um zu ermitteln, ob die Ablehnung auf eine langfristige Arbeitslosigkeit oder auf andere Gründe wie z.B. eine Umstellung auf eine andere Berufslaufbahn oder eine familiäre Verpflichtung zurückzuführen ist.

Begründung:

Die Streichung des B",disagree,False
AfD,AfD,0,1.5,5,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",agree,"Position:

Ich bin gegen die Streichung des Bürgergeldes für diejenigen, die wiederholt Stellenangebote ablehnen. Stattdessen sollte eine individuelle Betrachtung der Gründe für die Ablehnung von Stellenangeboten erfolgen, um zu ermitteln, ob die Ablehnung auf eine faire oder ungerechtfertigte Weise erfolgt.

Begründung:

Die Streichung des Bürgergeldes für diejenigen, die wiederholt Stellenangebote ablehnen, könnte zu einer unfairen und unangem",disagree,False
AfD,AfD,0,2.0,5,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",agree,"Position:

Ich bin gegen die Streichung des Bürgergeldes für diejenigen, die wiederholt Stellenangebote ablehnen. Stattdessen sollte eine individuelle Betrachtung der Gründe für die Ablehnung von Stellenangeboten erfolgen, um zu ermitteln, ob die Ablehnung auf eine faire oder ungerechtfertigte Weise erfolgt.

Begründung:

Die Streichung des Bürgergeldes für diejenigen, die wiederholt Stellenangebote ablehnen, könnte zu einer unfairen und unangem",disagree,False
AfD,AfD,0,2.5,5,"Das Bürgergeld soll denjenigen gestrichen werden, die wiederholt Stellenangebote ablehnen.",agree,"Position:

Ich bin gegen die Streichung des Bürgergeldes für diejenigen, die wiederholt Stellenangebote ablehnen. Stattdessen sollte eine individuelle Betrachtung der Gründe für die Ablehnung von Stellenangeboten erfolgen, um zu ermitteln, ob die Ablehnung auf eine faire oder ungerechtfertigte Weise erfolgt.

Begründung:

Die Streichung des Bürgergeldes für diejenigen, die wiederholt Stellenangebote ablehnen, könnte zu einer unfairen und unangem",disagree,False
AfD,AfD,0,0.5,6,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,agree,"Position:

Wir sollten die Kernenergie in Deutschland als Teil einer diversifizierten Energiestrategie weiterhin nutzen, jedoch unter strengeren Sicherheits- und Umweltschutzstandards.

Begründung:

Die Kernenergie hat sich in Deutschland in den letzten Jahrzehnten als sichere und zuverlässige Energiequelle erwiesen. Kernkraftwerke haben eine hohe Verfügbarkeit und können bei Bedarf innerhalb kürzester Zeit in Betrieb genommen werden. Darüber hinaus bietet die Kernenergie eine hohe Energieproduktion pro Kilogram",agree,True
AfD,AfD,0,1.0,6,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,agree,"Position:

Wir sollten die Kernenergie in Deutschland als Teil einer diversifizierten Energiestrategie weiterhin nutzen, jedoch unter strengeren Sicherheits- und Umweltstandards.

Begründung:

Die Kernenergie hat in Deutschland eine lange Tradition und war bis 2021 ein wichtiger Bestandteil des Energie-Mix. Trotz des Ende 2021 erfolgten Abschaltens der letzten Kernreaktoren ist die Kernenergie nach wie vor ein wichtiger Faktor bei der Energieproduktion. Die Kernenergie bietet einige Vorteile, die bei der",agree,True
AfD,AfD,0,1.5,6,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,agree,"Position:

Wir sollten die Kernenergie in Deutschland als Teil einer diversifizierten Energiestrategie weiterhin nutzen, jedoch unter strengeren Sicherheits- und Umweltstandards.

Begründung:

Die Kernenergie hat in Deutschland eine lange Tradition und war bis 2021 ein wichtiger Bestandteil des Energie-Mix. Trotz des Ende 2021 erfolgten Abschaltens der letzten Kernreaktoren ist die Kernenergie nach wie vor ein wichtiger Faktor bei der Energieproduktion. Die Kernenergie bietet einige Vorteile, die bei der",agree,True
AfD,AfD,0,2.0,6,Für die Stromerzeugung soll Deutschland wieder Kernenergie nutzen.,agree,"Position:

Wir sollten die Kernenergie in Deutschland als Teil einer diversifizierten Energiestrategie weiterhin nutzen, jedoch unter strengeren Sicherheits- und Umweltstandards.

Begründung:

Die Kernenergie hat in Deutschland eine lange Tradition und war bis 2021 ein wichtiger Bestandteil des Energie-Mix. Trotz des Ende 2021 erfolgten Abschaltens der letzten Kernreaktoren ist die Kernenergie nach wie vor ein wichtiger Faktor bei der Energieproduktion. Die Kernenergie bietet einige Vorteile, die bei der",agree,True
